candidate_id,candidate_lat,candidate_lon,base_mean_components,base_mean_lcc_ratio,new_mean_components,new_mean_lcc_ratio,delta_components,delta_lcc_ratio,score
NEW_063,40.4162,-111.79039,1.1,0.9732,1.05,0.9886,0.05,0.0154,0.0654
NEW_013,40.355857,-111.824396,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_022,40.365914,-111.807393,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_021,40.365914,-111.824396,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_029,40.375971,-111.824396,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_030,40.375971,-111.807393,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_031,40.375971,-111.79039,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_038,40.386029,-111.807393,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_039,40.386029,-111.79039,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_015,40.355857,-111.79039,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_014,40.355857,-111.807393,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_046,40.396086,-111.807393,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_047,40.396086,-111.79039,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_054,40.406143,-111.807393,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_007,40.3458,-111.79039,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_006,40.3458,-111.807393,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_005,40.3458,-111.824396,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_055,40.406143,-111.79039,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_023,40.365914,-111.79039,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_052,40.406143,-111.841399,1.1,0.9732,1.1,0.973,0.0,-0.0002,-0.0002
NEW_053,40.406143,-111.824396,1.1,0.9732,1.1,0.973,0.0,-0.0002,-0.0002
NEW_061,40.4162,-111.824396,1.1,0.9732,1.1,0.973,0.0,-0.0002,-0.0002
NEW_062,40.4162,-111.807393,1.1,0.9732,1.1,0.973,0.0,-0.0002,-0.0002
